id,title,owner,status,project_id,project_name,stage,prd_path,tech_solution_path,project_path,deployment_branch,prd_confirmation,tech_expectations,acceptance,research_direction,last_update,engine,target,game_type,notes
P-20260412-009,,,active,PRJ-20260412-009,ai-stock-simulation,,,,,,,,,,,,,,
P-20260505-001,PRD: Monopoly3D 核心体验打磨,,active,PRJ-20260412-009,ai-stock-simulation,,,,,,,,,,2026-05-05,,,,
P-20260505-002,PRD: ai-stock-simulation 强化回测系统,,active,PRJ-20260412-009,ai-stock-simulation,,,,,,,,,,2026-05-05,,,,
P-20260505-003,PRD: Monopoly3D AI 对手智能化,,active,PRJ-20260412-009,ai-stock-simulation,,,,,,,,,,2026-05-05,,,,
P-20260505-004,PRD: Monopoly3D 完整资源包,,active,PRJ-20260412-009,ai-stock-simulation,,,,,,,,,,2026-05-05,,,,
P-20260509-024,P-20260509-024 PRD — 持仓分析面板（Position Analytics）,,active,PRJ-20260412-009,ai-stock-simulation,,,,,,,,,,2026-05-09,,,,
P-20250417-002,,,active,PRJ-20260417-002,android-hello,,,,,,,,,,,,,,
P-20260505-014,PRD: android-hello V2.1.0 — 单元测试,,active,PRJ-20260417-002,android-hello,,,,,,,,,,2026-05-05,,,,
P-20260505-015,PRD: android-hello V2.2.0 — Compose Navigation 多页面,,active,PRJ-20260417-002,android-hello,,,,,,,,,,2026-05-05,,,,
P-20260505-016,PRD: android-hello V2.3.0 — Room 数据持久化,,active,PRJ-20260417-002,android-hello,,,,,,,,,,2026-05-05,,,,
P-20260505-017,,,active,PRJ-20260417-002,android-hello,,,,,,,,,,,,,,
P-20260506-018,,,active,PRJ-20260417-002,android-hello,,,,,,,,,,,,,,
P-20260506-019,,,active,PRJ-20260417-002,android-hello,,,,,,,,,,,,,,
P-20260506-020,,,active,PRJ-20260417-002,android-hello,,,,,,,,,,,,,,
P-20260506-021,,,active,PRJ-20260417-002,android-hello,,,,,,,,,,,,,,
P-20260506-022,,,active,PRJ-20260417-002,android-hello,,,,,,,,,,,,,,
P-20260506-023,,,active,PRJ-20260417-002,android-hello,,,,,,,,,,,,,,
P-20260507-024,,,active,PRJ-20260417-002,android-hello,,,,,,,,,,,,,,
P-20260507-025,,,active,PRJ-20260417-002,android-hello,,,,,,,,,,,,,,
P-20260507-026,,,active,PRJ-20260417-002,android-hello,,,,,,,,,,,,,,
P-20260507-027,,,active,PRJ-20260417-002,android-hello,,,,,,,,,,,,,,
P-20260507-028,,,active,PRJ-20260417-002,android-hello,,,,,,,,,,,,,,
P-20260507-029,,,active,PRJ-20260417-002,android-hello,,,,,,,,,,,,,,
P-20260507-030,,,active,PRJ-20260417-002,android-hello,,,,,,,,,,,,,,
P-20260509-003,PRD: android-hello V3.10.0 深色模式优化,,active,PRJ-20260417-002,android-hello,,,,,,,,,,2026-05-09,,,,
P-20260509-004,PRD: 策略市场/跟单系统,,active,PRJ-20260417-002,android-hello,,,,,,,,,,2026-05-09,,,,
P-20250418-001,,,active,PRJ-20260418-001,monopoly3d,,,,,,,,,,,,,,
P-20250418-004,,,active,PRJ-20260418-004,future-little-leaders,,,,,,,,,,,,,,
