id,name,proposal_count,git_repo
PRJ-20250416-001,todolist,11,https://github.com/YeLuo45/todo-list
PRJ-20250416-002,game-1024,6,https://github.com/YeLuo45/game-1024
PRJ-20250418-003,harness-desktop,2,https://github.com/YeLuo45/harness-desktop
PRJ-20260412-008,ai-subscription,19,https://github.com/YeLuo45/ai-subscription
PRJ-20260412-009,ai-stock-simulation,6,https://github.com/YeLuo45/ai-stock-simulation
PRJ-20260417-001,prj-proposals-manager,2,https://github.com/YeLuo45/prj-proposals-manager
PRJ-20260417-002,android-hello,20,https://github.com/YeLuo45/android-hello
PRJ-20260418-001,monopoly3d,1,https://github.com/YeLuo45/monopoly3d
PRJ-20260418-002,creative-drawing-board,40,https://github.com/YeLuo45/creative-drawing-board
PRJ-20260418-004,future-little-leaders,3,https://github.com/YeLuo45/future-little-leaders
PRJ-20260418-005,todo-app,1,https://github.com/YeLuo45/todo-app
PRJ-20260419-001,temple-run,3,https://github.com/YeLuo45/temple-run
PRJ-20260419-002,tank-battle,1,https://github.com/YeLuo45/tank-battle
PRJ-20260419-003,dont-step-white,13,https://github.com/YeLuo45/dont-step-white
PRJ-20260419-005,TradingAgents-CN,2,https://github.com/YeLuo45/TradingAgents-CN
PRJ-20260419-007,ai-creator-h5,3,https://github.com/YeLuo45/ai-creator-h5
PRJ-20260420-001,snake-battle,4,https://github.com/YeLuo45/snake-battle
PRJ-20260420-002,pixel-pal-web,4,https://github.com/YeLuo45/pixel-pal-web
PRJ-20260421-001,card-game-prototype,28,https://github.com/YeLuo45/card-game-prototype
PRJ-20260421-003,personalClaw,1,https://github.com/YeLuo45/personalClaw
PRJ-20260422-001,ai-novel-assistant,6,https://github.com/YeLuo45/ai-novel-assistant
PRJ-20260423-001,room-escape-puzzle,1,https://github.com/YeLuo45/room-escape-puzzle
PRJ-20260423-002,little-garden,1,https://github.com/YeLuo45/little-garden
PRJ-20260423-005,hermes-agent-collab,3,https://github.com/YeLuo45/hermes-agent-collab
PRJ-20260424-001,OpenMAIC,1,https://github.com/YeLuo45/OpenMAIC
PRJ-20260424-004,match3-puzzle,1,https://github.com/YeLuo45/match3-puzzle
PRJ-20260426-003,calculator-app,1,https://github.com/YeLuo45/calculator-app
PRJ-20260427-001,preschool-puzzle,2,https://github.com/YeLuo45/preschool-puzzle
PRJ-20260428-001,whack-a-mole-3d,6,https://github.com/YeLuo45/whack-a-mole-3d
PRJ-20260428-002,flight-chess-3d,8,https://github.com/YeLuo45/flight-chess-3d
PRJ-20260430-001,tower-baby-guard,1,https://github.com/YeLuo45/tower-baby-guard
PRJ-20260430-002,doc-editor,1,https://github.com/YeLuo45/doc-editor
PRJ-20260509-001,trading-agents-design,1,https://github.com/YeLuo45/trading-agents-design
PRJ-20260509-002,trending-dashboard,0,https://github.com/YeLuo45/trending-dashboard
PRJ-20260511-003,astrbot-design,1,https://github.com/YeLuo45/AstrBot
PRJ-20260511-004,autoagent-design,1,https://github.com/YeLuo45/AutoAgent
PRJ-20260511-005,bmad-method-design,1,https://github.com/YeLuo45/BMAD-METHOD
PRJ-20260511-006,chatdev-design,1,https://github.com/YeLuo45/ChatDev
PRJ-20260511-007,deepcode-design,1,https://github.com/YeLuo45/DeepCode
PRJ-20260511-008,deepseek-coder-design,1,https://github.com/YeLuo45/DeepSeek-Coder
PRJ-20260514-001,deepseek-tui-design,0,https://github.com/YeLuo45/deepseek-tui-design
PRJ-20260514-002,openspec-design,0,https://github.com/YeLuo45/openspec-design
PRJ-20260514-003,ai-hedge-fund-design,0,https://github.com/YeLuo45/ai-hedge-fund-design
PRJ-20260514-004,crawl4ai-design,0,https://github.com/YeLuo45/crawl4ai-design
PRJ-20260514-005,n8n-design,0,https://github.com/YeLuo45/n8n-design
PRJ-20260514-006,nanobot-design,0,https://github.com/YeLuo45/nanobot-design
PRJ-20260515-001,thunderbolt-design,0,https://github.com/YeLuo45/thunderbolt-design
PRJ-20260515-002,media-crawler-design,0,https://github.com/YeLuo45/MediaCrawler
PRJ-20260515-003,claude-howto-design,0,https://github.com/YeLuo45/claude-howto-design
PRJ-20260515-004,generic-agent-design,0,https://github.com/YeLuo45/generic-agent-design
PRJ-20260515-005,open-space-design,0,https://github.com/YeLuo45/open-space-design
PRJ-20260515-006,scrapling-design,0,https://github.com/YeLuo45/scrapling-design
PRJ-20260515-007,claude-code-design,0,https://github.com/YeLuo45/claude-code-design
PRJ-20260515-008,claudecodesrc-design,0,https://github.com/YeLuo45/claudecodesrc-design
PRJ-20260515-009,freqtrade-develop-design,0,https://github.com/YeLuo45/freqtrade-develop-design
PRJ-20260515-010,langcli-design,0,https://github.com/YeLuo45/langcli-design
PRJ-20260515-011,ohmypi-design,0,https://github.com/YeLuo45/ohmypi-design
PRJ-20260515-012,opencode-dev-design,0,https://github.com/YeLuo45/opencode-dev-design
PRJ-20260515-013,ruflo-design,0,https://github.com/YeLuo45/ruflo-design
PRJ-20260516-001,hermes-agent-design,0,https://github.com/YeLuo45/hermes-agent-design
PRJ-20260516-002,cultivation-simulator,1,https://github.com/YeLuo45/cultivation-simulator
PRJ-20260516-003,github-repo-manager,1,https://github.com/YeLuo45/github-repo-manager
PRJ-20260516-014,ai-creator-miniprogram,0,https://github.com/YeLuo45/ai-creator-miniprogram
PRJ-20260516-015,amblyopia-training,0,https://github.com/YeLuo45/amblyopia-training
PRJ-20260516-016,animal-forest,0,https://github.com/YeLuo45/animal-forest
PRJ-20260516-017,ash-echoes,0,https://github.com/YeLuo45/ash-echoes
PRJ-20260516-018,soulshooter,0,https://github.com/YeLuo45/soulshooter
PRJ-20260516-019,super-mario-3d,0,https://github.com/YeLuo45/super-mario-3d
