project_id,project_name,proposal_id,proposal_name
PRJ-20250416-001,todolist,P-20250416-001,
PRJ-20250416-001,todolist,P-20260502-012,
PRJ-20250416-001,todolist,P-20260502-014,
PRJ-20250416-001,todolist,P-20260502-015,
PRJ-20250416-001,todolist,P-20260502-016,
PRJ-20250416-001,todolist,P-20260502-019,
PRJ-20250416-001,todolist,P-20260503-020,
PRJ-20250416-001,todolist,P-20260503-024,
PRJ-20250416-001,todolist,P-20260503-025,
PRJ-20250416-001,todolist,P-20260503-026,
PRJ-20250416-001,todolist,P-20260503-027,
PRJ-20250416-002,game-1024,P-20250416-002,
PRJ-20250416-002,game-1024,P-20260502-007,
PRJ-20250416-002,game-1024,P-20260502-008,
PRJ-20250416-002,game-1024,P-20260502-009,
PRJ-20250416-002,game-1024,P-20260502-010,
PRJ-20250416-002,game-1024,P-20260502-011,
PRJ-20250418-003,harness-desktop,P-20250418-003,
PRJ-20250418-003,harness-desktop,P-20260510-001,
PRJ-20260412-008,ai-subscription,P-20260412-008,
PRJ-20260412-008,ai-subscription,P-20260502-017,
PRJ-20260412-008,ai-subscription,P-20260505-005,
PRJ-20260412-008,ai-subscription,P-20260505-006,
PRJ-20260412-008,ai-subscription,P-20260505-007,
PRJ-20260412-008,ai-subscription,P-20260505-008,
PRJ-20260412-008,ai-subscription,P-20260505-009,
PRJ-20260412-008,ai-subscription,P-20260505-010,
PRJ-20260412-008,ai-subscription,P-20260505-011,
PRJ-20260412-008,ai-subscription,P-20260505-013,
PRJ-20260412-008,ai-subscription,P-20260506-001,
PRJ-20260412-008,ai-subscription,P-20260506-002,
PRJ-20260412-008,ai-subscription,P-20260506-003,
PRJ-20260412-008,ai-subscription,P-20260506-004,
PRJ-20260412-008,ai-subscription,P-20260506-005,
PRJ-20260412-008,ai-subscription,P-20260506-006,
PRJ-20260412-008,ai-subscription,P-20260506-007,
PRJ-20260412-008,ai-subscription,P-20260506-008,
PRJ-20260412-008,ai-subscription,P-20260506-009,
PRJ-20260412-009,ai-stock-simulation,P-20260412-009,
PRJ-20260412-009,ai-stock-simulation,P-20260505-001,
PRJ-20260412-009,ai-stock-simulation,P-20260505-002,
PRJ-20260412-009,ai-stock-simulation,P-20260505-003,
PRJ-20260412-009,ai-stock-simulation,P-20260505-004,
PRJ-20260412-009,ai-stock-simulation,P-20260509-024,
PRJ-20260417-001,prj-proposals-manager,P-20250417-001,
PRJ-20260417-001,prj-proposals-manager,P-20260505-077,
PRJ-20260417-002,android-hello,P-20250417-002,
PRJ-20260417-002,android-hello,P-20260505-014,
PRJ-20260417-002,android-hello,P-20260505-015,
PRJ-20260417-002,android-hello,P-20260505-016,
PRJ-20260417-002,android-hello,P-20260505-017,
PRJ-20260417-002,android-hello,P-20260506-018,
PRJ-20260417-002,android-hello,P-20260506-019,
PRJ-20260417-002,android-hello,P-20260506-020,
PRJ-20260417-002,android-hello,P-20260506-021,
PRJ-20260417-002,android-hello,P-20260506-022,
PRJ-20260417-002,android-hello,P-20260506-023,
PRJ-20260417-002,android-hello,P-20260507-024,
PRJ-20260417-002,android-hello,P-20260507-025,
PRJ-20260417-002,android-hello,P-20260507-026,
PRJ-20260417-002,android-hello,P-20260507-027,
PRJ-20260417-002,android-hello,P-20260507-028,
PRJ-20260417-002,android-hello,P-20260507-029,
PRJ-20260417-002,android-hello,P-20260507-030,
PRJ-20260417-002,android-hello,P-20260509-003,
PRJ-20260417-002,android-hello,P-20260509-004,
PRJ-20260418-001,monopoly3d,P-20250418-001,
PRJ-20260418-002,creative-drawing-board,P-20260503-028,
PRJ-20260418-002,creative-drawing-board,P-20260503-038,
PRJ-20260418-002,creative-drawing-board,P-20260503-039,
PRJ-20260418-002,creative-drawing-board,P-20260503-040,
PRJ-20260418-002,creative-drawing-board,P-20260503-041,
PRJ-20260418-002,creative-drawing-board,P-20260503-042,
PRJ-20260418-002,creative-drawing-board,P-20260503-043,
PRJ-20260418-002,creative-drawing-board,P-20260503-044,
PRJ-20260418-002,creative-drawing-board,P-20260503-045,
PRJ-20260418-002,creative-drawing-board,P-20260503-046,
PRJ-20260418-002,creative-drawing-board,P-20260503-047,
PRJ-20260418-002,creative-drawing-board,P-20260503-048,
PRJ-20260418-002,creative-drawing-board,P-20260504-049,
PRJ-20260418-002,creative-drawing-board,P-20260504-050,
PRJ-20260418-002,creative-drawing-board,P-20260504-051,
PRJ-20260418-002,creative-drawing-board,P-20260504-052,
PRJ-20260418-002,creative-drawing-board,P-20260504-053,
PRJ-20260418-002,creative-drawing-board,P-20260504-054,
PRJ-20260418-002,creative-drawing-board,P-20260504-055,
PRJ-20260418-002,creative-drawing-board,P-20260504-056,
