project_id,project_name,project_git_repo,proposal_id,proposal_name,proposal_status
ai-subscription,ai-subscription,,P-20260522-041,ai-subscription,archived
ai-subscription,ai-subscription,,P-20260522-042,ai-subscription,archived
ai-subscription,ai-subscription,,P-20260522-043,ai-subscription,archived
ai-subscription,ai-subscription,,P-20260522-044,ai-subscription,archived
ai-subscription,ai-subscription,,P-20260522-045,ai-subscription,archived
ai-subscription,ai-subscription,,P-20260522-046,ai-subscription,archived
card-game-prototype,card-game-prototype,,P-20260521-004,card-game-prototype,archived
card-game-prototype,card-game-prototype,,P-20260522-003,card-game-prototype,archived
card-game-prototype,card-game-prototype,,P-20260522-025,card-game-prototype,archived
card-game-prototype,card-game-prototype,,P-20260522-027,card-game-prototype,archived
creative-drawing-board,creative-drawing-board,,P-20260522-001,creative-drawing-board,archived
creative-drawing-board,creative-drawing-board,,P-20260522-035,creative-drawing-board,archived
creative-drawing-board,creative-drawing-board,,P-20260522-045,creative-drawing-board,archived
cultivation-simulator,cultivation-simulator,,P-20260521-003,cultivation-simulator,archived
cultivation-simulator,cultivation-simulator,,P-20260521-006,cultivation-simulator,archived
cultivation-simulator,cultivation-simulator,,P-20260522-028,cultivation-simulator,archived
cultivation-simulator,cultivation-simulator,,P-20260522-029,cultivation-simulator,archived
cultivation-simulator,cultivation-simulator,,P-20260522-036,cultivation-simulator,archived
cultivation-simulator,cultivation-simulator,,P-20260522-037,p-20260522-037,archived
doc-editor,doc-editor,,P-20260522-006,doc-editor,archived
doc-editor,doc-editor,,P-20260522-007,doc-editor,archived
doc-editor,doc-editor,,P-20260522-008,doc-editor,archived
doc-editor,doc-editor,,P-20260522-009,doc-editor,archived
doc-editor,doc-editor,,P-20260522-010,doc-editor,archived
doc-editor,doc-editor,,P-20260522-013,doc-editor,archived
doc-editor,doc-editor,,P-20260522-014,doc-editor,archived
doc-editor,doc-editor,,P-20260522-015,doc-editor,archived
doc-editor,doc-editor,,P-20260522-016,doc-editor,archived
doc-editor,doc-editor,,P-20260522-017,doc-editor,archived
doc-editor,doc-editor,,P-20260522-018,doc-editor,archived
doc-editor,doc-editor,,P-20260522-019,doc-editor,archived
doc-editor,doc-editor,,P-20260522-020,doc-editor,archived
doc-editor,doc-editor,,P-20260522-021,doc-editor,archived
github-repo-manager,github-repo-manager,,P-20260522-038,github-repo-manager,archived
github-repo-manager,github-repo-manager,,P-20260522-039,github-repo-manager,archived
pixel-pal-web,pixel-pal-web,,P-20260521-005,pixel-pal-web,archived
pixel-pal-web,pixel-pal-web,,P-20260522-001,pixel-pal-web,archived
pixel-pal-web,pixel-pal-web,,P-20260522-002,pixel-pal-web,archived
pixel-pal-web,pixel-pal-web,,P-20260522-004,pixel-pal-web,archived
pixel-pal-web,pixel-pal-web,,P-20260522-012,proposals,archived
pixel-pal-web,pixel-pal-web,,P-20260522-023,pixel-pal-web,archived
pixel-pal-web,pixel-pal-web,,P-20260522-034,pixel-pal-web,archived
price-compare,price-compare,,P-20260521-002,price-compare,archived
price-compare,price-compare,,P-20260522-005,price-compare,archived
price-compare,price-compare,,P-20260522-030,price-compare,archived
price-compare,price-compare,,P-20260522-032,price-compare,archived
price-compare,price-compare,,P-20260522-033,price-compare,archived
prj-proposals-manager,prj-proposals-manager,,P-20260522-022,prj-proposals-manager,archived
prj-proposals-manager,prj-proposals-manager,,P-20260522-024,prj-proposals-manager,archived
prj-proposals-manager,prj-proposals-manager,,P-20260522-026,prj-proposals-manager,archived
prj-proposals-manager,prj-proposals-manager,,P-20260522-031,prj-proposals-manager,archived
