id,name,proposal_count,git_repo
PRJ-20250416-001,todolist,11,https://github.com/YeLuo45/todo-list
PRJ-20250416-002,game-1024,6,https://github.com/YeLuo45/game-1024
PRJ-20250418-003,harness-desktop,1,https://github.com/YeLuo45/harness-desktop
PRJ-20260412-008,ai-subscription,11,https://github.com/YeLuo45/ai-subscription
PRJ-20260412-009,ai-stock-simulation,5,https://github.com/YeLuo45/ai-stock-simulation
PRJ-20260417-001,prj-proposals-manager,2,https://github.com/YeLuo45/prj-proposals-manager
PRJ-20260417-002,android-hello,1,https://github.com/YeLuo45/android-hello
PRJ-20260418-001,monopoly3d,1,https://github.com/YeLuo45/monopoly3d
PRJ-20260418-002,creative-drawing-board,40,https://github.com/YeLuo45/creative-drawing-board
PRJ-20260418-004,future-little-leaders,2,https://github.com/YeLuo45/future-little-leaders
PRJ-20260418-005,todo-app,1,https://github.com/YeLuo45/todo-app
PRJ-20260419-001,temple-run,3,https://github.com/YeLuo45/temple-run
PRJ-20260419-002,tank-battle,1,https://github.com/YeLuo45/tank-battle
PRJ-20260419-003,dont-step-white,13,https://github.com/YeLuo45/dont-step-white
PRJ-20260419-005,TradingAgents-CN,2,https://github.com/YeLuo45/TradingAgents-CN
PRJ-20260419-007,ai-creator-h5 (H5),1,https://github.com/YeLuo45/ai-creator-miniprogram (小程序) / https://github.com/YeLuo45/ai-creator-h5 (H5)
PRJ-20260420-001,snake-battle,4,https://github.com/YeLuo45/snake-battle
PRJ-20260420-002,pixel-pal-web,16,https://github.com/YeLuo45/pixel-pal-web
PRJ-20260421-001,card-game-prototype,32,https://github.com/YeLuo45/card-game-prototype
PRJ-20260421-003,personalClaw,1,https://github.com/YeLuo45/personalClaw
PRJ-20260422-001,ai-novel-assistant,6,https://github.com/YeLuo45/ai-novel-assistant
PRJ-20260423-001,room-escape-puzzle,1,https://github.com/YeLuo45/room-escape-puzzle
PRJ-20260423-002,little-garden,1,https://github.com/YeLuo45/little-garden
PRJ-20260423-005,hermes-agent-collab,3,https://github.com/YeLuo45/hermes-agent-collab
PRJ-20260424-001,OpenMAIC,1,https://github.com/YeLuo45/OpenMAIC
PRJ-20260424-004,match3-puzzle,1,https://github.com/YeLuo45/match3-puzzle
PRJ-20260426-003,calculator-app,1,https://github.com/YeLuo45/calculator-app.git
PRJ-20260427-001,preschool-puzzle,2,https://github.com/YeLuo45/preschool-puzzle
PRJ-20260428-001,whack-a-mole-3d,6,https://github.com/YeLuo45/whack-a-mole-3d
PRJ-20260428-002,flight-chess-3d,8,https://github.com/YeLuo45/flight-chess-3d
PRJ-20260430-001,tower-baby-guard,1,https://github.com/YeLuo45/tower-baby-guard
PRJ-20260430-002,doc-editor,1,https://github.com/YeLuo45/doc-editor
